kanji,meanings,radical,components,complexity
忭,delighted; pleased,心,,7
忮,stubborn; perverse; aggressive,心,,7
忯,to be fond of; to love; to be respectful of,心,,7
忲,extravagant,心,,7
忳,anguish; grieve; ignorant; foolish,心,,7
忼,weep; grieve,心,,7
怊,grieve; sorrowful,心,,8
怍,to be ashamed,心,,8
怔,disease resembling neurosis,心,,8
怗,observant; peaceful; submissive,心,,8
怘,protect; safeguard,心,,9
怚,dull; stupid; suspicious,心,,8
怤,think; look forward to,心,,9
怭,rude,心,,8
怳,wild; mad; flurried,心,,8
怵,fear; be afraid; shy; timid,心,,8
恇,fear,心,,9
恉,meaning; purport; drift,心,,9
恌,to worry; frivolous,心,,9
恑,to change; to alter; to accommodate oneself to,心,,9
恔,cheerful; bright; sagacious,心,,9
恝,carefree; indifferent manner,心,,9
恡,stingy; sparing of; close-fisted,心,,9
恧,ashamed; embarrassed,心,,10
恿,instigate; incite; to alarm,心,,11
悆,happy,心,,11
悊,wise; to know intuitively,心,,11
悑,dreadful; be frightened; fearful,心,,10
悕,pray in earnest; be sorrowful; lament,心,,10
悝,to laugh at; to pity; afflicted; sad,心,,10
悞,impede; neglect; delay,心,,10
悤,agitated; restless; hurried,心,,11
您,"honorific for ""you""",心,,11
悰,enjoy; amuse; please; joy,心,,11
悱,to be desirous of speaking,心,,11
悻,anger; vexation; angry; indignant,心,,11
悾,naive; guileless; simple-minded,心,,11
惄,long for; hungry,心,,12
惈,resolute; determined,心,,11
惊,frighten; surprise; startle,心,,11
惋,regret; be sorry; alarmed,心,,11
惎,injure; harm; murder,心,,12
惏,avaricious; greedy; cold,心,,11
惔,cheerful,心,,11
惕,be cautious; careful; alert,心,,11
惙,sad; melancholy; grieving; mourn,心,,11
惛,confused; stupid; dull; senile,心,,11
惝,dejected; dispirited; vague; faint; grand,心,,11
惲,devise; plan; deliberate; consul,心,,12
惵,fear; worry over; fill; satisfy; calm; at ease; tranquil,心,,12
惸,troubled; worried; distressed,心,,12
惼,narrow-minded,心,,12
惽,confused,心,,12
愊,sincere; honest; depressed,心,,12
愐,bashful; to consider,心,,12
愒,rest; stop; cover,心,,12
愓,profligate,心,,12
愔,comfortable; contented; peaceful,心,,12
愜,be satisfied; be comfortable,心,,12
愞,timid; apprehensive,心,,12
愪,to be grieved; sad,心,,13
愫,guileless; sincere; honest,心,,13
愰,clearness of mind; doubtful; uncertain,心,,13
愷,enjoy; be contented; joyful,心,,13
慁,dishonor; disobey; insult,心,,14
慅,agitated,心,,13
慆,excessive; dissolute; delighted,心,,13
慉,to bring up; to raise,心,,13
慬,brave; cautious; sad,心,,14
慼,sorrowful; mournful; sorrow; grieve,心,,15
憀,to rely on,心,,14
憁,ignorant and foolish; run around aimlessly; unable to fulfill one's will,心,,14
憃,foolish; stupid; dull; silly,心,,15
憋,to suppress inner feeling; hasty,心,,16
憍,be haughty; proud; arrogant,心,,15
憒,confused; troubled; muddle-headed,心,,15
憓,follow obediently; blessing; favour,心,,15
憘,like; love; enjoy; joyful thing,心,,15
憜,lazy; lazines,心,,15
憝,to dislike; to abhor; to hate,心,,16
憨,foolish; silly; coquettish,心,,16
憪,composed; contented,心,,15
憭,clear; intelligible; severe; cold,心,,15
憸,flatter; crafty; having specious,心,,16
憹,worried; anxious; shaken,心,,16
懂,understand; comprehend,心,,16
懕,satiated; contented,心,,18
懜,dull; stupid; doltish,心,,17
懝,ignorant of; misgivings; interrupt; stop,心,,17
懟,hate; abhor; hatred; resentment,心,,18
懥,angry; enraged; resentful; hate,心,,18
戁,fear,心,,23
戄,to be in awe of; to fear,心,,23
戇,stupid; simple; simple-minded,心,,24
戕,kill; slay; wound; injure; hurt,戈,,8
戜,to scrape; advantageous,戈,,11
戠,sword; potter's clay; to gather,戈,,13
戢,to put away; to cease; store up,戈,,13
戣,lance,戈,,13
戧,support,戈,,14
戩,exterminate; destroy; blessing,戈,,14
戹,drag along,戶,,5
戽,to bale out water,戶,,8
扂,lock; latch; bar; bolt,戶,,9
扃,door bar placed outside a door,戶,,9
扄,large ring on a front door used as a knocker,戶,,10
扆,screen,戶,,10
扌,hand; hand radical (no. 64),手,,3
扐,divine,手,,5
扑,pound; beat; strike; attack,手,,5
扒,scratch; dig up; crawl; crouch,手,,5
扔,throw; hurl; throw away; cast,手,,5
扤,move,手,,6
扭,turn; twist; wrench; seize; grasp,手,,7
扯,rip up; tear down; raise; haul,手,,7
扳,pull; drag; right itself,手,,7
扽,to move; to shake,手,,7
抨,impeach; censure; attack,手,,8
抶,beat,手,,8
抿,pucker up lips in smile; press,手,,8
拄,lean on; post; prod; ridicule,手,,8
拎,to haul; to lift; to take,手,,8
拕,to drag after; to drag out; to involve; to delay; to implicate,手,,8
拖,drag; tow; haul; delay; prolong,手,,8
拚,risk; disregard; go all out for,手,,8
拴,bind with rope; fasten,手,,9
拼,join together; link; incorporate,手,,9
拽,drag; tow; throw; twist,手,,9
挍,collate,手,,9
挐,drag,手,,10
挓,to open out; to expand,手,,9
挖,dig; dig out; gouge out; scoop,手,,9
挘,pluck; pick; tear; (kokuji),手,,9
挪,move; shift on one side,手,,10
挭,fish bones; things that stick in the throat; unyielding; blunt of speech,手,,10
挵,play with; handle things,手,,10
挶,hold in hands,手,,10
挹,to bale out; to decant liquids,手,,10
挼,rub; stroke with hands; crumple,手,,10
捂,resist,手,,10
捄,long,手,,10
捆,tie up; bind; truss up; bundle,手,,10
捋,to pluck; to gather in the fingers; to rub; to scrape off; horse exercise area,手,,10
捎,to select; to take; to carry,手,,10
捓,strive; endeavor,手,,10
捘,push,手,,10
捥,to bend the wrist; come off; be broken,手,,11
捦,to seize; to clutch; to arrest; to capture,手,,11
捬,press down heavily with hands,手,,11
捭,to open; to spread out,手,,11
捱,put off; procrastinate; endure,手,,11
捼,to rub; to crumple,手,,11
捽,clutch; grasp; pull up; contradict,手,,11
捿,perch; roost; stay,手,,11
掂,to heft; to hold or weigh in the palm,手,,11
掄,swing; brandish; flourish,手,,11
掇,collect; gather up; pick up,手,,11
掊,to extract; injure,手,,11
掐,hold; gather with hand; choke,手,,11
掔,sturdy,手,,12
掙,strive; endeavor; struggle,手,,11
掞,easy; smooth; quiet; suave,手,,11
掤,quiver,手,,11
掭,to manipulate; pricker for a lamp wick,手,,11
掮,to bear on the shoulders,手,,11
掯,oppress; extort; take by force,手,,11
掽,collide; meet unexpectedly,手,,11
揁,sound of setting up a koto,手,,12
揅,grind; rub; study; research,手,,13
揎,to pull up the sleeves and stretch out the arms; to strike with bare fists,手,,12
揑,to fabricate; to trump up,手,,12
揕,roll up sleeves; fight bare fist,手,,12
揜,cover up; take by force; shut,手,,12
揠,to pull up; to eradicate,手,,12
揥,scratcher,手,,12
揪,grasp with hand; pinch,手,,12
揲,to sort out the stalks used in divination; to fold,手,,12
揵,carry,手,,12
揸,handful; pick up with fingers,手,,12
揹,carry things on one's back,手,,12
搉,knock; pick out; ridicule,手,,12
搊,pluck,手,,13
搐,cramp; spasm; convulsion; twitch,手,,13
搒,pole; beat,手,,13
搔,to scratch,手,,12
搘,prop,手,,13
搞,to clear; clarify,手,,13
搠,to daub; to thrust,手,,13
搢,to stick into; to shake; put between; insert,手,,13
搤,seize,手,,13
搥,beat; pound; strike; tap out message,手,,13
搪,ward off; evade; parry; block,手,,13
搯,take out; pull out,手,,13
搰,dig; turbid; exert,手,,13
搵,wipe off; press down with knuckle; to immerse,手,,13
搽,smear; rub; wipe; anoint,手,,13
摏,pound; strike against; ram,手,,14
摑,box one's ears; slap,手,,14
摒,expel; cast off; arrange,手,,14
摔,fall ground; stumble; trip,手,,14
摛,to spread (name; news); to be knowing,手,,14
摜,throw ground; know; be familiar,手,,14
摟,hug; embrace; drag; pull,手,,14
摠,general,手,,14
摡,to irrigate; to flood water flowing; to scour,手,,14
摣,handful; to pick up with the fingers; to seize,手,,14
摭,pick up; gather,手,,14
摳,raise; lift up; tight-fisted,手,,14
摴,comfortable; easy,手,,14
摻,delicate hand; mix; blend; adulterate,手,,14
摽,throw out; push out; strike,手,,14
撅,protrude; snap; break; dig,手,,15
撇,discard; abandon; throw away,手,,15
撏,pull out; pluck; take hold of,手,,15
撐,prop up; support; brace,手,,15
撑,prop up; support; brace,手,,15
撙,economize; abide by; comply with,手,,15
撝,wave; brandish; modest; humble,手,,15
撟,correct,手,,15
撣,to dust; duster,手,,15
撦,rip up; tear down; raise; haul,手,,15
撬,lift; raise; open,手,,15
撳,press; push,手,,15
撾,to beat; to strike,手,,16
撿,to pick up; inspect; check; consider,手,,16
擄,capture; seize,手,,16
擉,to pierce; to break through,手,,16
擊,strike; hit; beat; attack; fight,手,,17
擋,obstruct; impede; stop; resist,手,,16
擎,lift up; hold up; support,手,,17
擐,to put on,手,,16
擗,to beat the breast,手,,16
擤,to blow the nose with fingers,手,,17
擥,drive away; expel; oust,手,,18
擩,to stain; to dye,手,,17
擪,to tuck in; to put the finger into; to put in; to stow away,手,,18
擭,trap catch animals; snare; seize,手,,17
擰,pinch; twist; wring; determined,手,,17
擷,pick up; gather up; hold in lap,手,,18
擻,shake; tremble; quake; flutter,手,,18
擿,to select; to pick out from; to discard; to expose; to reveal,手,,18
攄,spread; disperse; vent; set forth,手,,18
攉,to beckon; to urge,手,,18
攏,collect; bring together,手,,19
攔,obstruct; impede; bar; hinder,手,,20
攖,oppose; offend; run counter to,手,,20
攙,give helping hand,手,,20
攛,hurry; to throw; to urge,手,,21
攞,to split; to rend; to choose; to rub; to wipe,手,,22
攢,save; hoard,手,,22
攩,obstruct; impede; stop; resist,手,,23
攮,to fend off; to stab,手,,25
敃,strong; robust; vigorous,攴,,9
敉,pacify; soothe; stabilize,攴,,10
敔,gavel,攴,,11
敠,to weigh; cut; come without being invited,攴,,12
敧,to pick up a thing with chop-sticks or pincers,攴,,12
敫,ancient musical instrument,攴,,13
敺,expel; drive away; beat; assault,攴,,15
敽,bind,攴,,16
斁,dislike; be weary of; explain,攴,,17
斅,teach; instruct; be aroused; awake; intelligent,攴,,20
斒,variegated; striped; marbled,文,,13
斕,multicolored,文,,16
斝,small jade wine cup,斗,,12
斠,measure,斗,,14
斮,cut off,斤,,12
斲,cut; chop; hack,斤,,16
斴,the sound of water flowing among rocks,斤,,17
斿,to swim; to move freely; to rove,方,,9
旂,flag,方,,10
旈,fringes of pearls on crowns; pennant,方,,11
旉,to state to; to announce,方,,11
旎,fluttering of flag; romantic,方,,11
旐,an embroidered pennant,方,,12
旖,romantic; tender; charming,方,,14
旘,pennon; flag; to fasten,方,,17
旟,military flag; standard,方,,20
旰,sunset; dusk; evening,日,,7
旴,dawn,日,,7
旹,time; season; era; age; period,日,,8
昀,sunlight; used in personal name,日,,8
昄,big,日,,8
昉,bright dawn; daybreak; appear,日,,8
昑,bright,日,,8
昕,dawn; early morning; day,日,,8
昝,dual pronoun; I; you and me; we two,日,,9
昞,bright; luminous; glorious; clear,日,,9
昡,long day; extended; relaxed,日,,9
昤,sunshine,日,,9
昪,delighted; pleased,日,,9
昫,warm,日,,9
昬,dusk; dark confused; stupid,日,,9
昰,"var of ""to be""; ""summer""; name",日,,9
昱,bright light; sunlight; dazzling,日,,9
昳,the declining sun in the west,日,,9
昷,to feed a prisoner,日,,9
晅,light of the sun; to dry in the sun,日,,10
晌,noon; midday; moment; land measure,日,,10
晗,pre-dawn,日,,11
晛,sunlight,日,,11
晜,insect,日,,11
晡,late afternoon,日,,11
晬,first birthday of a child,日,,12
晾,air dry; sun dry,日,,12
晳,fair; white; clear; discriminate,日,,12
晷,shadows of sun; time; sundial,日,,12
暋,strong; robust; tough,日,,13
暌,in opposition; distant from; separated,日,,13
暍,sun-stroke,日,,13
暐,the bright shining of the sun,日,,13
暠,daybreak; bright and brilliant,日,,14
暱,intimate; close; approach,日,,15
暵,dry by exposing sun,日,,15
暻,bright,日,,15
曀,stormy; cloudy; misty; dim,日,,15
曈,twilight just before sunrise,日,,16
曏,once upon time; period of time,日,,17
曛,twilight; sunset,日,,18
曨,vague; dim; twilight,日,,20
曬,dry in sun; expose to sun,日,,23
朅,brave,曰,,14
朓,sacrifice,月,,10
朙,bright; clear; intelligent; light; brilliant; to understand; to illustrate,月,,12
朠,color of the moon,月,,13
朢,look at; gaze at; hope; expect,月,,14
朳,tree,木,,6
朾,to bump,木,,6
杅,tub,木,,7
杇,loquat,木,,7
杈,fork of a tree; pitchfork,木,,7
杌,stubble; stump of a tree (hence: sterility); square stool,木,,7
杕,alone,木,,7
杝,tree,木,,7
杮,wood shavings,木,,8
杴,shovel; trough used to carry water,木,,8
杶,varnish,木,,8
杻,ligustrum sinenese; tree,木,,8
极,extreme; utmost; furthest; final,木,,8
构,frame; building; structure,木,,8
枏,variety of evergreen tree; cedar,木,,8
枓,capital,木,,8
枘,the handle of tools; tenon; cog,木,,8
枰,smooth board; chess-board; chess,木,,9
枲,male nettle-hemp,木,,9
枵,hollow stump of a tree; empty; thin,木,,9
枻,long oar; sweep,木,,9
枼,table; flat pieces of wood; slip; leaf,木,,9
柹,persimmon,木,,9
柂,helm,木,,9
柅,flourish,木,,9
柈,container,木,,9
柒,number seven,木,,9
柙,cage; pen for wild animals,木,,9
柜,cabinet; cupboard; shop counter,木,,9
柰,crab-apple tree; endure; bear,木,,9
柲,handle,木,,9
柶,ladle,木,,9
柷,instrument,木,,9
桒,mulberry,木,,10
栔,carve; engrave,木,,10
栝,builder's frame for measuring,木,,10
栟,hemp palm,木,,10
栭,king-post,木,,10
栰,bamboo raft,木,,10
栱,large peg; stake; post; pillar,木,,10
栳,basket,木,,10
栻,tree,木,,10
桄,coir-palm,木,,10
桅,mast of ship,木,,10
桌,table; desk; stand,木,,10
桕,tallow tree,木,,10
桛,reel; hank; skein; (kokuji),木,,10
桫,horse chestnut,木,,11
桮,cup; glass; tumbler,木,,11
桯,table,木,,11
桹,palm,木,,11
梄,soft wood; to lay in stores of firewood,木,,11
梆,watchman's rattle,木,,11
梖,palm-tree,木,,11
梘,bamboo tube; wooden peg; spout,木,,11
梜,chop-stick,木,,11
梡,tray for carrying sacrificial meat,木,,11
梣,ash (tree),木,,11
梩,hod,木,,11
梮,snowshoes,木,,11
梲,joist; cane; club; king-post,木,,11
梻,grave tree; (kokuji),木,,11
棅,handle; lever; knob; authority,木,,12
棐,species of yew,木,,12
棑,raft,木,,12
棓,hit; strike,木,,12
棖,door stop; door jam; touch,木,,12
棜,branch; fork; tray,木,,12
棥,railing; fence an enclosed place,木,,12
棨,tally; wooden pass,木,,12
棪,tree,木,,12
棫,thorny shrub with yellow flowers,木,,12
棬,bowl,木,,12
棱,squared timber; angle; edge; sharp place,木,,12
棵,numerary adjunct for trees,木,,12
棻,kind of wood from which perfume is made,木,,11
棼,beams in the roof of a house confused; disordered,木,,12
椊,to fit a handle into a socket; plug; cork,木,,12
椑,oval,木,,12
椓,strike; hit; beat; hammer,木,,12
椳,the pivots; at the top and bottom of a Chinese door; on which the door turns,木,,13
椵,pompelmoose; canque,木,,13
椸,rack,木,,13
楂,raft; to hew; to fell trees,木,,13
楅,guard,木,,13
楎,peg,木,,13
楗,bar of door; bolt of lock,木,,13
楛,coarse; crude; plant,木,,13
楣,cross-beam above or under a gate,木,,13
楥,last for making shoes; to turn on a lathe,木,,13
楦,last for making shoes; to turn on a lathe,木,,13
楨,hardwood; supports; posts,木,,13
楩,tree,木,,13
楬,tablet; signpost,木,,13
楰,tree,木,,13
榖,paper mulberry,木,,14
榘,carpenter's square; ruler; rule,木,,14
榥,screen,木,,14
榦,tree trunk; support; prop,木,,14
榨,extractor of juices; vegetable,木,,14
榫,mortise and tenon; fit into,木,,14
榭,kiosk; pavilion,木,,14
榷,footbridge; toll; levy; monopoly,木,,14
榼,wine glass,木,,14
槢,hard wood,木,,15
槥,coffin,木,,15
槱,firewood for sacrifice,木,,15
槳,oar; paddle,木,,15
槾,paste wall with dirt,木,,15
樁,stake; post; affair; matter,木,,15
樏,sedan; snowshoes,木,,15
樑,bridge; beam,木,,15
樕,shrub,木,,15
樚,pulley; windless; wheel; block,木,,15
樠,elm; gum,木,,15
樲,jujube,木,,16
樾,the shade of trees,木,,16
樿,coffin,木,,16
橅,beech tree,木,,16
橆,without; apart from; none; a negative,木,,16
橐,sack; bag opening at both ends,木,,16
橒,wood streaks,木,,16
橕,prop; shore,木,,16
橛,post; stake; axle,木,,16
橤,stamen,木,,16
橧,hut,木,,16
橱,cabinet; wardrobe; cupboard,木,,16
檁,bole of a tree; cross-beam; combing round the hatches of a ship,木,,17
檇,wooden rammer; wooden pestle; place,木,,17
檉,type of willow; tamarisk,木,,17
檝,oar,木,,17
檞,oak,木,,17
檟,small evergreen shrub,木,,17
檫,sassafras tzumu,木,,17
檯,table,木,,18
檴,tree,木,,18
檾,grassy plant with fibres from which cloth is made,木,,18
檿,mulberry,木,,18
櫈,bench; stool,木,,18
櫌,kind of hoe,木,,19
櫜,quiver (case for arrows),木,,19
櫝,cabinet; wardrobe; closet; chest; coffer,木,,19
櫧,oak,木,,20
櫬,coffin; tung tree,木,,20
櫱,yeast; leaven for making liquors,木,,20
櫽,shape wood by use of heat; tool for shaping bent wood,木,,21
欃,sandlewood; comet,木,,21
欏,horse-chestnut tree,木,,23
欐,beam,木,,23
欑,gather,木,,23
欛,knife handle; hilt,木,,25
欞,the lattice of a window a sill; lintel,木,,28
欤,final particle used express question,欠,,7
欨,to blow upon; to breathe upon; to smile,欠,,9
欬,cough; sound of laughter,欠,,10
欵,to treat well; to detain; article; friendship,欠,,11
欻,sudden; abrupt; quick,欠,,12
欿,discontented; sad; gloomy,欠,,12
歆,like; admire; willingly; gladly; to quicken,欠,,13
歊,sigh,欠,,14
歠,sip; drink; suck,欠,,19
歧,fork in road; branching off,止,,8
歾,drown,歹,,8
殂,to die,歹,,9
殗,sickness; repeated,歹,,12
殛,to put to death; to imprison for life; to punish,歹,,12
殢,be in great difficulty; greatly,歹,,15
殣,die; death; to starve to death,歹,,15
殨,to open an ulcer or sore,歹,,16
殭,stiff corpse,歹,,17
殮,dress corpse for burial,歹,,17
殰,an abortion; stillborn,歹,,19
殽,mixed up; confused; cooked,殳,,12
毌,pierce; penetrate; brace,毋,,4
毖,guard against; take care; caution,比,,9
毚,cunning; greedy; crafty,比,,17
毡,felt; rug; carpet,毛,,9
毧,fur; hair; down; camel hair,毛,,10
毮,"to pull out hair, etc.; (kokuji)",毛,,11
毷,restless,毛,,13
毿,long feathers; scraggy,毛,,15
氂,tail; hair; yak,毛,,15
氄,down,毛,,16
氅,overcoat; down feathers,毛,,16
氉,restless; melancholy,毛,,17
氍,fine woollen cloth; mat used by the emperor in worshipping god,毛,,22
氐,name of an ancient tribe,氏,,5
氟,Fluorine (element),气,,9
氦,Helium (element),气,,10
氧,Oxygen (element),气,,10
氨,ammonia; hydrogen nitride,气,,10
氬,Argonium (element),气,,12
氮,Xenon (element),气,,12
氳,life-giving influences of nature; spirit of harmony; prosperity,气,,13
氵,water; water radical (no. 85),水,,3
氺,water radical variant (no. 85),水,,5
氿,spring,水,,5
汊,branching stream,水,,6
汋,to pour,水,,6
汍,weep,水,,6
汙,filthy; dirty; impure; polluted,水,,6
汛,high water; flood tides,水,,6
汜,stream which leaves the main branch then later returns,水,,6
汭,confluence of two streams; bend,水,,7
汴,name of a river in Henan; Henan,水,,7
汶,river in Shandong province,水,,7
汹,turbulent; noisy; restless,水,,7
沅,name of a river in western Hunan that flows into Dongting lake,水,,7
沆,ferry; fog; flowing,水,,7
沇,flowing and engulfing; brimming,水,,7
沉,sink; submerge; addicted to,水,,7
沔,flood; overflowing,水,,7
沕,deep,水,,7
沘,name of a river,水,,7
沟,ditch; drain; narrow waterway,水,,7
沰,to let drop,水,,8
沲,float,水,,8
沴,foul and poisonous in confusion; out of harmony,水,,8
泂,clear and deep (of water); wide,水,,8
泆,licentious; libertine; dissipate,水,,8
泐,to write; to indite,水,,8
泑,"the vitreous glaze on china, porcelain, etc.",水,,8
泒,river in Hubei province,水,,9
泔,"water from washing rice; to boil thick, as gruel; rinse & comb hair",水,,8
泖,still waters; river in Jiangsu,水,,8
泚,clear; bright and brilliant; sweat,水,,8
泜,river in Hebei province,水,,8
泠,nice and cool; mild and comfortable,水,,8
泫,weep; cry; shine; glisten,水,,8
泮,Zhou dynasty school; disperse; fall apart,水,,8
泲,kind of white wine,水,,8
洄,back-water; eddy; whirlpool; flowing water,水,,9
洊,flowing water,水,,9
洎,until; till; soup; to soak,水,,9
洏,tears; tearful,水,,9
洑,whirlpool; undercurrent,水,,9
洧,name of a river in Honan,水,,9
洨,river in Hebei province,水,,9
汧,name of a river in Shandong; marsh; float,水,,9
洮,cleanse; river in Gansu province,水,,9
洱,lake in Yunnan,水,,9
洹,river in Henan province,水,,9
洼,hollow; pit; depression; swamp,水,,9
洿,stagnant water; impure; filthy,水,,9
浡,burst forth; rise; vigorous,水,,10
浥,moist; wet; dampen,水,,10
浼,to request; to ask a favour of,水,,10
涂,surname; name of certain rivers,水,,10
涇,name of a river,水,,10
涑,river in Shansi province,水,,10
涒,meander,水,,10
涔,river in Shaanxi; murky torrent,水,,10
涖,river in Hebei province; creek,水,,10
涘,river bank; water's edge,水,,10
涪,river in Sichuan province,水,,11
涬,watery expanse,水,,11
涴,daub,水,,11
涷,rainstorm,水,,11
涿,drip; dribble; trickle,水,,11
淄,river in Shandong province,水,,11
淖,slush; mud,水,,11
淝,name of an affluent of the Poyang Lake,水,,11
淟,turbid; muddy,水,,11
淢,ditch,水,,11
淥,strain,水,,11
淩,pass over; cross; traverse,水,,11
淰,fish; still,水,,11
淶,river in Hebei province; creek,水,,11
淼,wide expanse of water,水,,12
渢,pleasant sound,水,,12
渧,to drop; as liquids; drop,水,,12
渲,add repeated washes of color,水,,12
渼,ripples,水,,12
湄,water's edge; shore; bank,水,,12
湅,boil silk,水,,12
湋,river in Shanxi province,水,,12
湏,wash face,水,,12
湑,to strain spirits; dregs; lees; river in Guangxi; abundant; bright,水,,12
湓,an affluent of the River Yangtze near Kiukiang,水,,12
湔,wash; cleanse; purge,水,,12
湜,transparent; clear,水,,12
湝,flow,水,,12
湞,river in Guangdong province,水,,12
湢,bathroom; neat; orderly,水,,12
湣,mixed; confused; pity,水,,12
湻,pure; unmixed; genuine; honest,水,,12
溠,river in Hubei province,水,,13
溧,river in Anhui and Jiangsu province,水,,13
溮,river in Henan province,水,,13
溱,river in Henan,水,,13
溻,wet,水,,13
滁,district in Anhui province,水,,13
滃,swelling; rising; dispersing,水,,13
滇,Yunnan province,水,,13
滊,vapour; steam,水,,13
滎,county in Henan; rising and dash,水,,14
滫,water in which rice has been boiled,水,,14
滮,flow,水,,14
滹,the bank of a steam,水,,14
漈,shore; waterside,水,,14
漊,river in Hubei province,水,,14
漘,bank,水,,14
漚,soak; steep; sodden; soaked,水,,14
漦,saliva; spittle; flowing downstream,水,,15
漩,eddy; whirlpool,水,,14
漪,ripples on water; swirling,水,,14
漯,river in northern Shandong,水,,14
漰,roar,水,,14
漳,name of a river in Henan,水,,14
漶,indecipherable,水,,14
漼,having the appearance of depth,水,,14
漭,vast; expansive,水,,15
潏,foreshore reclaimed from river,水,,15
潑,pour; splash; water; sprinkle; violent; malignant,水,,15
潙,river in Shanxi,水,,15
潚,gay; deep,水,,15
潝,agree,水,,15
潞,river in northern china,水,,15
潢,expanse of water; lake; pond,水,,15
潨,gather; flow into (water); sound of waters flowing together,水,,15
潬,rapid; sand-bank; foreshore,水,,15
潾,clear water,水,,15
澇,inundate; flood; torrent,水,,15
澈,thoroughly; completely; become clear,水,,15
澌,to exhaust; to drain dry,水,,15
澍,timely rain; life-giving rain,水,,15
澐,billows,水,,15
澒,vast,水,,15
澔,radiance of gems,水,,15
澠,name of a river in Shandong,水,,16
澥,blocked stream; gulf,水,,16
澦,place in Sichuan,水,,16
澧,river in northern Hunan province,水,,16
澨,shore; river in Hubei,水,,16
澮,irrigation ditch; trench; river,水,,16
澰,overflowing,水,,16
澶,still water; placid; tranquil,水,,16
澼,bleach; wash; clean,水,,16
濇,astringent; harsh; rough; uneven,水,,16
濈,many,水,,16
濊,vast; expansive; deep; dirty,水,,16
濩,pour down; cascade down; look,水,,16
濰,county in Shandong province,水,,16
濵,bank; brink; shore; beach,水,,17
濼,river in Shandong province,水,,18
瀅,clear; pure water; lucid; glossy,水,,18
瀆,ditch; sluice; gutter; drain; blaspheme; pollute,水,,18
瀍,river in Henan province,水,,18
瀠,tiny stream; swirl around; eddy,水,,18
瀣,sea mist; vapor,水,,18
瀹,to boil; to wash; to cleanse; to soak,水,,20
瀼,river in Henan province; flowing,水,,20
灃,river in Shaanxi province,水,,21
灄,river in Hubei province,水,,21
灉,river in Shandong province,水,,21
灋,law,水,,21
灔,waves; billows,水,,22
灕,short name for Guangxi province,水,,22
灝,vast; large; grand; expansive,水,,24
灞,river in Shaanxi province,水,,24
灎,movement of water; overflowing; billowing; wavy,水,,26
灤,river and county in Hebei province,水,,27
灬,fire; fire radical (no. 86),火,,4
灵,spirit; soul; spiritual world,火,,7
灶,kitchen range; cooking stove,火,,7
灾,calamity; disaster; catastrophe,火,,7
炁,breath; air; steam; gas; weather; used in Taoist charms,火,,8
炅,brilliance,火,,8
炔,acetylene,火,,8
炕,the brick-bed in northern China,火,,8
炘,brilliant; shining; bright,火,,8
炤,illumine; light up; reflect,火,,9
炫,shine; glitter; show off; flaunt,火,,9
炰,roast; broil; bake,火,,9
炱,soot,火,,9
炷,candle wick; lamp wick; stick of,火,,9
烊,to smelt; to melt,火,,10
烓,stove,火,,10
烔,heat,火,,10
烕,to destroy; to exterminate; to extinguish,火,,10
烖,"calamities from Heaven, as floods, famines, pestilence, etc.; misery",火,,10
烘,bake; roast; grill; dry by fire,火,,10
烜,light of the sun; to dry in the sun,火,,10
烤,bake; roast; toast; cook,火,,10
烺,(said of fire) bright,火,,11
焄,rising flames; rising fumes; aroma,火,,11
焌,to light,火,,11
焞,dim,火,,12
焠,anneal; temper; burn,火,,12
焰,flame; blaze; glowing; blazing,火,,12
焱,flames; blaze,火,,12
煁,hearth,火,,13
煅,forge metal; perfect one's skill,火,,13
煆,raging fire,火,,13
煇,weld; solder,火,,13
煊,warm,火,,13
煒,brilliant red; glowing,火,,13
煜,bright; shining; brilliant,火,,13
煞,malignant deity; baleful; noxious; strike dead,火,,13
煠,to fry in fat or oil; to scald; to seethe; to boil,火,,13
煨,to stew; simmer; banked fire,火,,13
熀,the blaze of fire; dazzling,火,,14
熅,smooth out; iron out; sultriness,火,,14
熇,bake,火,,14
熒,shine; shimmer; shining; dazzling,火,,14
熛,blaze,火,,15
熠,bright and sparkling,火,,15
熯,by fire,火,,15
熰,great drought; heat,火,,15
熲,bright,火,,15
熺,dim light; glimmer; warm,火,,16
燀,to make a fire; blaze,火,,16
燁,bright; glorious; splendid; flame,火,,16
燄,flame; blazing; brilliant,火,,16
燋,scorch; burn; scald; torch; bonfire,火,,16
燖,re-heat food,火,,16
燙,scald; heat; wash; iron clothes,火,,16
燜,simmer; cook over slow fire,火,,16
燾,shine; illuminate; cover; envelop,火,,18
爇,burn,火,,19
爓,flame; brilliant; blazing,火,,20
爚,bright; fiery,火,,21
爟,fire,火,,22
爫,claw radical (no. 87),爪,,4
爸,father; papa,父,,8
爹,father; daddy,父,,10
牁,mooring stake; painter; mooring,爿,,9
牂,female sheep; ewe,爿,,10
牏,privy hole,片,,13
牐,sluice; flood gate; canal lock,片,,13
牓,tablet; public notice; register,片,,14
牕,window,片,,15
牖,window; lead enlightenment,片,,15
牜,ox; cow; cow radical (no. 93),牛,,4
牠,it,牛,,7
牣,fill; stuff; full,牛,,8
牯,cow; bull; ox,牛,,9
牷,cow or ox of one color; perfect,牛,,10
牸,the female of certain animals; to bring forth young (of animals),牛,,10
牼,man,牛,,11
