kanji,meanings,radical,components,complexity
危,dangerous; fear; uneasy,卩,勹 厂 卩,6
喜,rejoice; take pleasure in,口,口 士 豆 丷,12
器,utensil; vessel; receptacle; implement; instrument; ability; container; tool; set,口,口 大,15
基,fundamentals; radical (chem); counter for machines; foundation,土,一 甘 土 ハ,11
奇,strange; strangeness; curiosity,大,一 口 大 亅,8
嬉,glad; pleased; rejoice,女,口 士 女 豆 丷,15
寄,draw near; stop in; bring near; gather; collect; send; forward,宀,一 口 大 亅 宀,11
岐,branch off; fork in road; scene; arena; theater,山,山 支 又 十,7
希,hope; beg; request; pray; beseech; Greece; dilute (acid); rare; few; phenomenal,巾,ノ 一 巾,7
幾,how many; how much; how far; how long; some; several,幺,ノ 幺 戈 丶,12
忌,mourning; abhor; detestable; death anniversary,心,心 已,7
